City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Nokaneng,BW,-19.6667,22.2667,72.12,20,0,12.35,clear sky
103,Monterey,US,36.2505,-121.2516,82.06,9,0,8.14,clear sky
104,Temba,ZA,-25.3803,28.2631,69.1,21,73,4.34,broken clouds
105,Fairbanks,US,64.8378,-147.7164,31.6,85,90,0.0,overcast clouds
106,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,8.05,clear sky
107,Ibipeba,BR,-11.6408,-42.0111,80.24,41,94,13.89,overcast clouds
108,Barrow,US,71.2906,-156.7887,21.22,73,90,12.66,light snow
109,Georgetown,MY,5.4112,100.3354,81.9,84,52,2.3,broken clouds
110,Tres Arroyos,AR,-38.3739,-60.2798,55.63,51,27,14.43,scattered clouds
111,Thompson,CA,55.7435,-97.8558,42.22,78,33,9.08,scattered clouds
112,Hobyo,SO,5.3505,48.5268,78.01,87,34,17.31,scattered clouds
113,Yar-Sale,RU,66.8333,70.8333,39.58,91,100,17.54,overcast clouds
114,Narasannapeta,IN,18.4167,84.05,77.56,89,100,3.4,moderate rain
115,Castro,BR,-24.7911,-50.0119,61.72,98,65,9.84,broken clouds
116,Chuy,UY,-33.6971,-53.4616,49.3,69,37,4.47,scattered clouds
117,Nikolskoye,RU,59.7035,30.7861,43.88,79,99,11.77,overcast clouds
118,Sitka,US,57.0531,-135.33,48.09,61,40,9.22,scattered clouds
119,Lompoc,US,34.6391,-120.4579,84.78,16,1,9.22,clear sky
120,Kodiak,US,57.79,-152.4072,44.11,45,1,8.05,clear sky
121,Tanabi,BR,-20.6264,-49.6492,76.55,70,83,6.78,broken clouds
122,Chernyshevskiy,RU,63.0128,112.4714,11.68,96,93,3.27,overcast clouds
123,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,72.99,84,90,4.74,overcast clouds
124,San Patricio,US,28.017,-97.5169,73.83,49,1,9.93,clear sky
125,Liverpool,GB,53.4106,-2.9779,55.53,86,0,5.01,moderate rain
126,Cidreira,BR,-30.1811,-50.2056,60.94,76,100,9.15,overcast clouds
127,Beringovskiy,RU,63.05,179.3167,32.97,79,100,33.84,overcast clouds
128,Hithadhoo,MV,-0.6,73.0833,82.51,77,100,18.92,overcast clouds
129,Mwene-Ditu,CD,-7.0,23.45,66.49,95,99,2.73,light rain
130,Coahuayana,MX,18.7333,-103.6833,83.68,79,60,3.06,broken clouds
131,Guanica,PR,17.9716,-66.908,83.14,85,56,2.1,light rain
132,Znamenskoye,RU,57.1281,73.8282,38.53,79,47,6.06,scattered clouds
133,Bilibino,RU,68.0546,166.4372,-0.63,94,20,2.95,few clouds
134,Longyearbyen,SJ,78.2186,15.6401,26.44,46,75,13.8,broken clouds
135,Lasa,IT,46.6166,10.7002,40.03,74,1,1.28,clear sky
136,Port Blair,IN,11.6667,92.75,80.46,86,89,13.06,light rain
137,Tuktoyaktuk,CA,69.4541,-133.0374,27.0,77,100,1.74,overcast clouds
138,Zapolyarnyy,RU,69.4154,30.8136,38.48,98,100,11.65,light rain
139,Gualaquiza,EC,-3.4,-78.55,64.9,97,100,1.72,light rain
140,Butaritari,KI,3.0707,172.7902,81.81,68,9,12.84,clear sky
141,Bandarbeyla,SO,9.4942,50.8122,77.29,90,69,12.44,broken clouds
142,Taoudenni,ML,22.6783,-3.9836,86.92,17,80,13.29,broken clouds
143,Mogadishu,SO,2.0371,45.3438,78.13,84,49,14.92,scattered clouds
144,Madera,US,37.1666,-119.8343,84.0,16,0,1.01,clear sky
145,Nelson Bay,AU,-32.7167,152.15,72.28,44,0,4.0,clear sky
146,Luderitz,NA,-26.6481,15.1594,54.88,64,45,24.7,scattered clouds
147,Marsa Matruh,EG,31.3525,27.2453,70.7,62,64,7.09,broken clouds
148,San Cristobal,VE,7.7669,-72.225,71.78,96,99,0.89,moderate rain
149,Umm Lajj,SA,25.0213,37.2685,83.03,68,0,8.99,clear sky
150,Darnah,LY,32.767,22.6367,70.02,58,75,13.6,broken clouds
151,Los Alamos,US,35.8881,-106.307,60.03,15,1,3.0,clear sky
152,Bengkulu,ID,-3.8004,102.2655,77.76,83,99,3.51,overcast clouds
153,Melfi,IT,40.9965,15.6514,51.49,85,96,2.1,overcast clouds
154,Mpika,ZM,-11.8343,31.4529,66.61,55,54,1.5,broken clouds
155,Fort Nelson,CA,58.8053,-122.7002,41.54,62,22,2.77,few clouds
156,Lavrentiya,RU,65.5833,-171.0,29.26,77,99,20.0,overcast clouds
157,Samarai,PG,-10.6167,150.6667,83.34,76,39,12.82,scattered clouds
158,Dikson,RU,73.5069,80.5464,30.88,98,100,11.9,light snow
159,Port Lincoln,AU,-34.7333,135.8667,60.48,67,63,10.49,broken clouds
160,Nizhniy Kuranakh,RU,58.8353,125.4869,14.38,70,47,2.3,scattered clouds
161,Rio Gallegos,AR,-51.6226,-69.2181,44.65,45,40,21.85,scattered clouds
162,San Quintin,MX,30.4833,-115.95,74.3,34,0,9.15,clear sky
163,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,10,11.9,clear sky
164,Jonacatepec,MX,18.6833,-98.8,74.52,63,99,2.95,overcast clouds
165,Pemangkat,ID,1.1667,108.9667,79.95,85,99,6.98,overcast clouds
166,Najran,SA,17.4924,44.1277,66.49,22,10,2.24,clear sky
167,Constitucion,CL,-35.3333,-72.4167,51.82,87,85,15.23,overcast clouds
168,Xiaoweizhai,CN,26.1903,107.5125,49.51,95,100,6.93,overcast clouds
169,Kansanshi,ZM,-12.0951,26.4273,64.02,77,33,5.93,scattered clouds
170,Ayorou,NE,14.7308,0.9174,88.83,12,2,2.17,clear sky
171,Pandan,PH,14.0453,124.1694,82.56,77,26,4.54,scattered clouds
172,Husavik,IS,66.0449,-17.3389,28.04,83,98,3.29,light snow
173,Pirot,RS,43.1531,22.5861,48.97,100,100,2.57,overcast clouds
174,Esperance,AU,-33.8667,121.9,63.97,65,8,5.39,clear sky
175,Camacha,PT,33.0833,-16.3333,66.96,83,20,4.61,few clouds
176,Minab,IR,27.1467,57.0801,81.16,22,0,4.09,clear sky
177,Lata,PT,40.1629,-8.3327,62.92,81,100,1.72,overcast clouds
178,Kununurra,AU,-15.7667,128.7333,85.98,62,88,9.22,overcast clouds
179,Jalpa,MX,21.6333,-102.9667,75.0,51,96,6.58,overcast clouds
180,Fonte Boa,BR,-2.4959,-66.2662,80.01,68,63,2.57,broken clouds
181,Tokur,RU,53.1333,132.9,13.6,74,93,3.15,overcast clouds
182,Terrace,CA,54.5163,-128.6035,46.42,86,98,0.69,overcast clouds
183,Goderich,CA,43.7501,-81.7165,57.9,71,72,24.7,broken clouds
184,Mildura,AU,-34.2,142.15,64.08,51,65,8.05,broken clouds
185,Viedma,AR,-40.8135,-62.9967,51.03,52,40,9.06,scattered clouds
186,Discovery Bay,US,37.9085,-121.6002,87.15,23,1,1.01,clear sky
187,Upernavik,GL,72.7868,-56.1549,20.75,55,65,7.05,broken clouds
188,Pingxiang,CN,27.6167,113.85,56.23,90,100,2.8,overcast clouds
189,Porto Belo,BR,-27.1578,-48.5531,70.97,81,87,17.02,overcast clouds
190,Huilong,CN,31.8111,121.655,64.04,61,100,18.05,light rain
191,Harnosand,SE,62.6323,17.9379,37.42,65,1,22.26,clear sky
192,Cherskiy,RU,68.75,161.3,-4.2,97,53,3.27,broken clouds
193,Prince George,CA,53.9166,-122.753,45.84,95,90,1.99,moderate rain
194,Illescas,ES,40.1221,-3.847,66.18,44,100,15.32,overcast clouds
195,Mandurah,AU,-32.55,115.7,66.22,69,100,9.82,overcast clouds
196,Odweyne,SO,9.4092,45.064,74.07,28,36,8.77,scattered clouds
197,Linfen,CN,36.0889,111.5189,49.44,58,0,1.23,clear sky
198,Tuatapere,NZ,-46.1333,167.6833,58.39,75,85,7.29,light rain
199,Nishihara,JP,26.1842,127.7558,76.28,76,90,19.57,overcast clouds
200,Irricana,CA,51.3237,-113.6048,63.91,37,88,10.85,overcast clouds
201,Minot,US,48.2325,-101.2963,58.12,44,1,6.91,clear sky
202,Skibbereen,IE,51.55,-9.2667,58.8,98,100,17.67,overcast clouds
203,Karratha,AU,-20.7377,116.8463,76.44,47,42,11.45,scattered clouds
204,Stornoway,GB,58.2093,-6.3865,48.16,81,75,4.61,broken clouds
205,Torbay,CA,47.6666,-52.7314,44.58,96,100,3.0,light rain
206,Sioux Lookout,CA,50.1001,-91.917,46.44,70,16,8.84,few clouds
207,Te Anau,NZ,-45.4167,167.7167,51.24,96,100,5.95,overcast clouds
208,New Norfolk,AU,-42.7826,147.0587,57.7,41,99,7.43,overcast clouds
209,The Valley,AI,18.217,-63.0578,83.82,72,76,1.52,broken clouds
210,Kanakapura,IN,12.55,77.4167,69.66,98,100,4.07,light rain
211,Airai,TL,-8.9266,125.4092,72.61,60,6,1.23,clear sky
212,Tiblawan,PH,6.4783,126.1083,83.17,76,57,5.35,broken clouds
213,Avarua,CK,-21.2078,-159.775,80.65,78,20,9.22,few clouds
214,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,27,0,18.41,clear sky
215,Muisne,EC,0.6,-80.0333,76.17,82,84,8.01,broken clouds
216,Praya,CV,14.9215,-23.5087,76.91,83,100,11.68,overcast clouds
217,Lorengau,PG,-2.0226,147.2712,86.52,62,87,10.65,overcast clouds
218,Cayenne,GF,4.9333,-52.3333,82.44,85,71,4.0,broken clouds
219,Tiarei,PF,-17.5333,-149.3333,86.02,72,37,18.88,scattered clouds
220,Mookane,BW,-23.688,26.6595,72.9,14,36,9.78,scattered clouds
221,Kuching,MY,1.55,110.3333,75.42,100,20,0.0,few clouds
222,High Level,CA,58.5169,-117.136,41.94,44,96,3.42,overcast clouds
223,Rafaela,AR,-31.2503,-61.4867,60.98,39,0,1.01,clear sky
224,Latung,PH,5.5,120.8833,83.07,77,68,9.15,broken clouds
225,Chegutu,ZW,-18.1302,30.1407,73.53,31,42,5.68,scattered clouds
226,Flinders,AU,-34.5833,150.8552,69.21,45,2,4.0,clear sky
227,Nautla,MX,20.2167,-96.7833,76.59,85,50,21.27,scattered clouds
228,Lincoln,US,40.8,-96.667,61.02,42,1,3.44,clear sky
229,Tura,IN,25.5198,90.2201,73.42,87,96,2.68,overcast clouds
230,Almaznyy,RU,48.0448,40.045,48.34,58,96,6.26,overcast clouds
231,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,8.05,light rain
232,Hamilton,US,39.1834,-84.5333,56.59,62,20,1.99,few clouds
233,Abashiri,JP,44.0213,144.2697,44.94,74,100,18.12,overcast clouds
234,Les Cayes,HT,18.2,-73.75,80.11,79,99,1.66,overcast clouds
235,La Rioja,ES,42.25,-2.5,58.05,53,100,1.25,overcast clouds
236,Bhinmal,IN,25.0,72.25,75.36,29,0,1.74,clear sky
237,Salalah,OM,17.0151,54.0924,75.29,73,0,3.44,clear sky
238,Nueve De Julio,AR,-35.4444,-60.8831,54.88,50,0,8.99,clear sky
239,Ilulissat,GL,69.2167,-51.1,21.22,38,4,2.3,clear sky
240,Dudinka,RU,69.4058,86.1778,33.53,99,100,21.12,snow
241,Olinda,BR,-8.0089,-34.8553,78.1,77,34,14.32,scattered clouds
242,Zheleznodorozhnyy,RU,55.7503,38.0042,41.18,82,31,9.33,scattered clouds
243,Mount Pleasant,US,32.7941,-79.8626,80.98,72,90,1.01,overcast clouds
244,Xiuyan,CN,40.2928,123.2744,36.36,30,0,2.35,clear sky
245,Bodden Town,KY,19.2833,-81.25,82.92,91,10,1.01,clear sky
246,East London,ZA,-33.0153,27.9116,57.04,57,19,20.15,few clouds
247,Boyolangu,ID,-8.1181,111.8935,79.66,79,86,5.64,overcast clouds
248,Luganville,VU,-15.5333,167.1667,85.1,70,92,6.6,overcast clouds
249,Araouane,ML,18.9048,-3.5265,86.63,10,0,11.07,clear sky
250,Yerbogachen,RU,61.2767,108.0108,19.0,93,21,4.54,few clouds
251,Hervey Bay,AU,-25.2986,152.8535,73.09,46,0,3.18,clear sky
252,Afua,BR,-0.1567,-50.3867,79.14,82,50,6.8,scattered clouds
253,Platanos,GR,37.6667,21.6167,62.56,90,92,2.53,overcast clouds
254,Vallenar,CL,-28.5708,-70.7581,62.4,52,0,2.98,clear sky
255,Norman Wells,CA,65.282,-126.8329,27.19,91,100,7.54,overcast clouds
256,Westonaria,ZA,-26.3191,27.6486,58.08,17,89,9.93,overcast clouds
257,Narsaq,GL,60.9167,-46.05,43.02,56,68,8.34,broken clouds
258,Turkistan,KZ,43.0,68.0,49.87,33,0,8.75,clear sky
259,Tolaga Bay,NZ,-38.3667,178.3,63.59,53,95,12.15,overcast clouds
260,Carnarvon,AU,-24.8667,113.6333,68.07,64,40,6.91,scattered clouds
261,Nome,US,64.5011,-165.4064,30.27,80,90,17.27,light snow
262,Laguna,US,38.421,-121.4238,87.06,21,1,1.99,clear sky
263,Vilhena,BR,-12.7406,-60.1458,69.51,98,100,2.66,overcast clouds
264,Bukachacha,RU,52.9833,116.9167,20.25,80,92,1.79,overcast clouds
265,Mount Isa,AU,-20.7333,139.5,82.17,16,0,12.66,clear sky
266,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.04,50,11,5.86,few clouds
267,Ahuimanu,US,21.4447,-157.8378,83.91,66,90,8.05,haze
268,Conde,BR,-7.2597,-34.9075,74.66,94,90,9.22,overcast clouds
269,Lagoa,PT,39.05,-27.9833,70.48,88,100,28.25,overcast clouds
270,Klaksvik,FO,62.2266,-6.589,40.12,64,89,7.0,overcast clouds
271,Solnechnyy,RU,50.7214,136.6319,25.11,81,99,12.48,light snow
272,Dunda,TZ,-8.1167,34.25,73.29,46,83,4.5,broken clouds
273,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,94,100,22.66,overcast clouds
274,Zamora,EC,-4.0692,-78.9567,69.17,97,99,1.79,light rain
275,Bouna,CI,9.2667,-3.0,76.14,68,19,4.45,few clouds
276,Yenagoa,NG,4.9247,6.2642,75.96,95,92,3.2,overcast clouds
277,Aklavik,CA,68.2191,-135.0107,26.65,80,99,5.17,overcast clouds
278,Horsham,GB,51.064,-0.3272,56.5,70,40,1.14,mist
279,Quatre Cocos,MU,-20.2078,57.7625,72.09,75,10,11.9,clear sky
280,Kavieng,PG,-2.5744,150.7967,85.86,63,93,11.61,overcast clouds
281,Naze,JP,28.3667,129.4833,69.13,75,90,23.91,overcast clouds
282,Tucumcari,US,35.1717,-103.725,66.04,20,1,11.5,clear sky
283,Katobu,ID,-4.9408,122.5276,84.07,70,27,3.89,scattered clouds
284,Ippy,CF,6.2679,21.2247,69.8,96,100,1.12,light rain
285,Buraydah,SA,26.326,43.975,77.59,16,0,2.51,clear sky
286,Ardon,RU,43.17,44.29,49.19,80,1,2.24,clear sky
287,Basco,PH,20.4487,121.9702,82.29,72,47,22.66,scattered clouds
288,Algiers,DZ,36.7525,3.042,62.42,72,40,2.3,scattered clouds
289,Rongcheng,CN,30.634,117.8517,50.0,80,91,6.69,overcast clouds
290,Soyo,AO,-6.1349,12.3689,76.64,80,12,7.81,few clouds
291,Houston,US,29.7633,-95.3633,72.05,44,1,1.99,clear sky
292,Kochki,RU,54.3358,80.4806,35.49,80,62,3.53,broken clouds
293,Clarence Town,AU,-32.5833,151.7833,72.14,38,0,7.76,clear sky
294,Ancud,CL,-41.8697,-73.8203,49.53,87,99,7.54,overcast clouds
295,Shelton,US,41.3165,-73.0932,72.01,80,90,5.01,overcast clouds
296,Canete,CL,-37.8,-73.4,47.71,92,86,5.59,overcast clouds
297,Pisco,PE,-13.7,-76.2167,62.65,77,64,18.41,broken clouds
298,Pevek,RU,69.7008,170.3133,10.9,84,93,2.64,overcast clouds
299,Talaya,RU,61.3833,152.75,6.44,90,100,4.68,overcast clouds
300,Bjelovar,HR,45.8986,16.8489,40.39,81,26,3.33,scattered clouds
301,Saint-Augustin,CA,51.226,-58.6502,42.4,74,25,6.85,scattered clouds
302,Tonantins,BR,-2.8731,-67.8022,78.73,85,100,1.9,overcast clouds
303,Vardo,NO,70.3705,31.1107,40.66,97,100,24.65,overcast clouds
304,Semporna,MY,4.4818,118.6112,81.1,84,100,5.14,overcast clouds
305,Beira,MZ,-19.8436,34.8389,75.99,82,19,6.67,few clouds
306,Calvia,ES,39.5657,2.5062,60.91,85,52,3.18,broken clouds
307,Port Macquarie,AU,-31.4333,152.9167,72.9,37,0,4.83,clear sky
308,Vanimo,PG,-2.6741,141.3028,84.36,71,76,4.36,light rain
309,Whitehorse,CA,60.7161,-135.0538,35.31,51,31,4.0,scattered clouds
310,Two Rivers,US,44.1539,-87.5693,54.46,58,1,1.99,clear sky
311,Haapiti,PF,-17.5667,-149.8667,85.73,74,12,20.96,light rain
312,Candelaria,PH,13.9311,121.4233,83.39,87,98,4.18,overcast clouds
313,Ganzhou,CN,28.8184,115.4327,53.92,71,99,10.36,overcast clouds
314,Minnedosa,CA,50.2453,-99.8436,49.66,39,2,8.72,clear sky
315,Kaitong,CN,44.8135,123.15,30.97,29,20,11.99,few clouds
316,Morant Bay,JM,17.8815,-76.4093,77.63,81,73,2.44,broken clouds
317,Talara,PE,-4.5772,-81.2719,64.87,91,100,17.2,overcast clouds
318,Tessalit,ML,20.1986,1.0114,82.96,12,1,7.99,clear sky
319,Gravdal,NO,68.1214,13.5031,42.04,67,100,11.34,light rain
320,Mahibadhoo,MV,3.7833,72.9667,82.02,78,100,23.04,heavy intensity rain
321,Belfast,GB,54.5833,-5.9333,55.22,92,90,10.36,overcast clouds
322,Nambucca Heads,AU,-30.65,153.0,74.17,38,3,3.78,clear sky
323,Vostok,RU,46.4856,135.8833,21.87,63,100,13.76,overcast clouds
324,Kota Kinabalu,MY,5.9749,116.0724,80.58,83,20,5.75,moderate rain
325,Urzhum,RU,57.1141,49.9996,43.25,64,96,13.91,overcast clouds
326,Huanuco,PE,-9.9329,-76.2415,66.4,83,81,1.45,broken clouds
327,Leningradskiy,RU,69.3833,178.4167,17.29,96,100,5.14,overcast clouds
328,Dunedin,NZ,-45.8742,170.5036,64.6,53,51,10.27,broken clouds
329,Bac Lieu,VN,9.285,105.7244,79.3,84,100,1.28,overcast clouds
330,Nenjiang,CN,49.1833,125.2167,26.82,40,72,7.0,broken clouds
331,Ulladulla,AU,-35.35,150.4667,68.88,51,3,7.52,clear sky
332,Horta,PT,38.5333,-28.6333,72.55,86,100,37.07,overcast clouds
333,Bossangoa,CF,6.4926,17.4552,69.93,98,88,3.74,moderate rain
334,Maarianhamina,AX,60.0973,19.9348,42.66,65,75,6.91,broken clouds
335,Yashkino,RU,55.8736,85.4265,25.75,75,15,3.74,few clouds
336,Dhadar,IN,28.3305,75.0632,78.93,42,2,7.18,clear sky
337,Mosquera,CO,4.7059,-74.2302,55.49,88,90,5.75,moderate rain
338,Marshall,US,34.3834,-86.3333,58.75,62,1,5.75,clear sky
339,Anadyr,RU,64.75,177.4833,26.01,86,63,20.0,broken clouds
340,Batemans Bay,AU,-35.7167,150.1833,68.2,47,4,7.29,clear sky
341,Kanniyakumari,IN,8.0833,77.5667,79.74,85,100,21.5,overcast clouds
342,Lesnoye,RU,58.2841,35.5158,41.74,84,55,13.31,broken clouds
343,Champasak,LA,14.75,106.0,71.58,100,100,3.51,very heavy rain
