City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Poya,NC,2021-10-12 17:40:14,-21.35,165.15,70.39,97,100,9.86
92,Provideniya,RU,2021-10-12 17:40:14,64.3833,-173.3,28.78,86,99,9.08
93,Beisfjord,NO,2021-10-12 17:40:14,68.3751,17.5988,40.24,94,99,3.49
94,Rosetta,EG,2021-10-12 17:40:15,31.4044,30.4164,82.22,70,37,10.78
95,Avarua,CK,2021-10-12 17:39:34,-21.2078,-159.775,75.25,83,75,10.36
96,Trincomalee,LK,2021-10-12 17:40:15,8.5711,81.2335,81.18,78,100,19.86
97,New Norfolk,AU,2021-10-12 17:40:15,-42.7826,147.0587,47.91,69,100,1.99
98,Te Anau,NZ,2021-10-12 17:40:16,-45.4167,167.7167,36.52,96,96,4.94
99,Tasiilaq,GL,2021-10-12 17:40:16,65.6145,-37.6368,35.76,70,47,0.65
100,Oranjemund,NA,2021-10-12 17:40:16,-28.55,16.4333,60.69,76,62,4.99
101,Airai,TL,2021-10-12 17:40:17,-8.9266,125.4092,61.14,75,100,1.41
102,Chuy,UY,2021-10-12 17:40:17,-33.6971,-53.4616,69.66,70,46,6.33
103,Lebu,CL,2021-10-12 17:40:17,-37.6167,-73.65,57.2,75,21,7.56
104,Mataura,NZ,2021-10-12 17:40:17,-46.1927,168.8643,40.19,88,100,6.06
105,Mackay,AU,2021-10-12 17:40:18,-21.15,149.2,70.05,94,42,3.44
106,Kaputa,ZM,2021-10-12 17:40:18,-8.4689,29.6619,82.11,42,88,1.88
107,Santa Fe,AR,2021-10-12 17:37:45,-31.6333,-60.7,84.99,33,24,4.0
108,Shimanovsk,RU,2021-10-12 17:40:19,52.0,127.7,43.95,80,100,7.58
109,Klyuchevsk,RU,2021-10-12 17:40:19,57.1216,60.9414,49.93,92,100,6.15
110,Clyde River,CA,2021-10-12 17:40:19,70.4692,-68.5914,37.63,75,75,4.61
111,Souillac,MU,2021-10-12 17:40:20,-20.5167,57.5167,74.35,94,75,5.75
112,Pangai,TO,2021-10-12 17:40:20,-19.8,-174.35,71.71,64,40,2.3
113,El Coyote,MX,2021-10-12 17:40:20,25.7,-103.2667,86.02,30,59,6.13
114,Laukaa,RU,2021-10-12 17:40:21,58.7372,29.8453,43.16,83,68,7.36
115,Brunico,IT,2021-10-12 17:40:21,46.7958,11.9364,52.95,87,100,3.47
116,Svetlyy,RU,2021-10-12 17:40:21,54.675,20.1347,44.65,77,65,9.13
117,Casper,US,2021-10-12 17:40:21,42.8666,-106.3131,32.5,90,90,8.01
118,Komsomolskiy,UZ,2021-10-12 17:40:22,40.4272,71.7189,49.42,61,0,6.91
